Time [yyyy-MM-dd HH:mm:ss],883.00_IJ: Discharge at (IJssel02_B_A_ 865_75)_ Flow1D [m³/s],883.00_IJ: Discharge at (IJssel02_B_A_ 865_75)_ Flow1D [m³/s]
2000-01-18 15:00:00,3692_5,3692_5
2000-01-18 16:00:00,3671_2,3671_2
2000-01-18 17:00:00,3649_8,3649_8
2000-01-18 18:00:00,3628_3,3628_3
2000-01-18 19:00:00,3606_8,3606_8
2000-01-18 20:00:00,3585_2,3585_2
2000-01-18 21:00:00,3563_6,3563_6
2000-01-18 22:00:00,3542,3542
2000-01-18 23:00:00,3520_4,3520_4
2000-01-19 00:00:00,3498_4,3498_4
2000-01-19 01:00:00,3476_3,3476_3
2000-01-19 02:00:00,3454_3,3454_3
2000-01-19 03:00:00,3432_4,3432_4
2000-01-19 04:00:00,3410_5,3410_5
2000-01-19 05:00:00,3388_5,3388_5
2000-01-19 06:00:00,3366_4,3366_4
2000-01-19 07:00:00,3343_9,3343_9
2000-01-19 08:00:00,3320_9,3320_9
2000-01-19 09:00:00,3297_4,3297_4
2000-01-19 10:00:00,3274_1,3274_1
2000-01-19 11:00:00,3250_3,3250_3
2000-01-19 12:00:00,3226_2,3226_2
2000-01-19 13:00:00,3201_8,3201_8
2000-01-19 14:00:00,3177_3,3177_3
2000-01-19 15:00:00,3144_8,3144_8
2000-01-19 16:00:00,3103_5,3103_5
2000-01-19 17:00:00,3065_8,3065_8
2000-01-19 18:00:00,3028_5,3028_5
2000-01-19 19:00:00,2991_3,2991_3
2000-01-19 20:00:00,2953_8,2953_8
2000-01-19 21:00:00,2916_5,2916_5
2000-01-19 22:00:00,2879_2,2879_2
2000-01-19 23:00:00,2841_9,2841_9
2000-01-20 00:00:00,2804_6,2804_6
2000-01-20 01:00:00,2767_8,2767_8
2000-01-20 02:00:00,2731_6,2731_6
2000-01-20 03:00:00,2695_9,2695_9
2000-01-20 04:00:00,2660_1,2660_1
2000-01-20 05:00:00,2629_2,2629_2
2000-01-20 06:00:00,2602_7,2602_7
2000-01-20 07:00:00,2574_6,2574_6
2000-01-20 08:00:00,2546_3,2546_3
2000-01-20 09:00:00,2518_1,2518_1
2000-01-20 10:00:00,2490_1,2490_1
2000-01-20 11:00:00,2469_5,2469_5
2000-01-20 12:00:00,2457_5,2457_5
2000-01-20 13:00:00,2444_9,2444_9
2000-01-20 14:00:00,2430_5,2430_5
2000-01-20 15:00:00,2413_5,2413_5
2000-01-20 16:00:00,2395,2395
2000-01-20 17:00:00,2376,2376
2000-01-20 18:00:00,2357,2357
2000-01-20 19:00:00,2338_1,2338_1
2000-01-20 20:00:00,2319_4,2319_4
2000-01-20 21:00:00,2300_4,2300_4
2000-01-20 22:00:00,2284_1,2284_1
2000-01-20 23:00:00,2269_3,2269_3
2000-01-21 00:00:00,2254_6,2254_6
2000-01-21 01:00:00,2239_6,2239_6
2000-01-21 02:00:00,2224_9,2224_9
2000-01-21 03:00:00,2208_9,2208_9
2000-01-21 04:00:00,2192_2,2192_2
2000-01-21 05:00:00,2176_5,2176_5
2000-01-21 06:00:00,2156_9,2156_9
2000-01-21 07:00:00,2131_5,2131_5
2000-01-21 08:00:00,2106_9,2106_9
2000-01-21 09:00:00,2083_4,2083_4
2000-01-21 10:00:00,2060_4,2060_4
2000-01-21 11:00:00,2038,2038
2000-01-21 12:00:00,2016_6,2016_6
2000-01-21 13:00:00,1996_8,1996_8
2000-01-21 14:00:00,1977_5,1977_5
2000-01-21 15:00:00,1958_5,1958_5
2000-01-21 16:00:00,1938_9,1938_9
2000-01-21 17:00:00,1919_2,1919_2
2000-01-21 18:00:00,1899_7,1899_7
2000-01-21 19:00:00,1880_4,1880_4
2000-01-21 20:00:00,1861_5,1861_5
