Time [yyyy-MM-dd HH:mm:ss],50848ObsUS: Discharge at (IJssel04_A_ 109_4015)_ Flow1D [m³/s]
2000-01-16 22:00:00,4210_6
2000-01-16 23:00:00,4213_1
2000-01-17 00:00:00,4215_3
2000-01-17 01:00:00,4217_2
2000-01-17 02:00:00,4218_9
2000-01-17 03:00:00,4220_3
2000-01-17 04:00:00,4221_4
2000-01-17 05:00:00,4222_2
2000-01-17 06:00:00,4222_5
2000-01-17 07:00:00,4222_5
2000-01-17 08:00:00,4222
2000-01-17 09:00:00,4221_1
2000-01-17 10:00:00,4219_8
2000-01-17 11:00:00,4218
2000-01-17 12:00:00,4215_9
2000-01-17 13:00:00,4213_4
2000-01-17 14:00:00,4210_5
2000-01-17 15:00:00,4207_2
2000-01-17 16:00:00,4203_6
2000-01-17 17:00:00,4199_7
2000-01-17 18:00:00,4195_5
2000-01-17 19:00:00,4191
2000-01-17 20:00:00,4186_1
2000-01-17 21:00:00,4181_1
2000-01-17 22:00:00,4175_8
2000-01-17 23:00:00,4170_3
2000-01-18 00:00:00,4164_5
2000-01-18 01:00:00,4158_6
2000-01-18 02:00:00,4152_4
2000-01-18 03:00:00,4146
2000-01-18 04:00:00,4139_3
2000-01-18 05:00:00,4132_3
2000-01-18 06:00:00,4124_8
2000-01-18 07:00:00,4117
2000-01-18 08:00:00,4108_6
2000-01-18 09:00:00,4099_8
2000-01-18 10:00:00,4090_5
2000-01-18 11:00:00,4080_7
2000-01-18 12:00:00,4070_4
2000-01-18 13:00:00,4059_7
2000-01-18 14:00:00,4048_6
2000-01-18 15:00:00,4037_1
2000-01-18 16:00:00,4025_1
2000-01-18 17:00:00,4012_7
2000-01-18 18:00:00,4000
2000-01-18 19:00:00,3987
2000-01-18 20:00:00,3973_7
2000-01-18 21:00:00,3960
2000-01-18 22:00:00,3946_1
2000-01-18 23:00:00,3931_8
2000-01-19 00:00:00,3917_2
2000-01-19 01:00:00,3902_3
2000-01-19 02:00:00,3887_2
2000-01-19 03:00:00,3871_7
2000-01-19 04:00:00,3856_1
2000-01-19 05:00:00,3840_2
2000-01-19 06:00:00,3824
2000-01-19 07:00:00,3807_6
2000-01-19 08:00:00,3790_8
2000-01-19 09:00:00,3773_5
2000-01-19 10:00:00,3755_6
2000-01-19 11:00:00,3737_1
2000-01-19 12:00:00,3718_2
2000-01-19 13:00:00,3698_9
2000-01-19 14:00:00,3679_2
2000-01-19 15:00:00,3659_1
2000-01-19 16:00:00,3638_7
2000-01-19 17:00:00,3617_7
2000-01-19 18:00:00,3595_9
2000-01-19 19:00:00,3573_2
2000-01-19 20:00:00,3549_6
2000-01-19 21:00:00,3525_1
2000-01-19 22:00:00,3499_9
2000-01-19 23:00:00,3473_9
2000-01-20 00:00:00,3447_3
2000-01-20 01:00:00,3419_9
2000-01-20 02:00:00,3391_4
2000-01-20 03:00:00,3361_4
2000-01-20 04:00:00,3330_3
2000-01-20 05:00:00,3298
2000-01-20 06:00:00,3265_2
2000-01-20 07:00:00,3232_2
2000-01-20 08:00:00,3197_9
2000-01-20 09:00:00,3163_2
2000-01-20 10:00:00,3128
2000-01-20 11:00:00,3092_5
2000-01-20 12:00:00,3056_7
2000-01-20 13:00:00,3020_8
2000-01-20 14:00:00,2984_4
2000-01-20 15:00:00,2948_6
2000-01-20 16:00:00,2913_8
2000-01-20 17:00:00,2880_2
2000-01-20 18:00:00,2847_7
2000-01-20 19:00:00,2816_1
2000-01-20 20:00:00,2784
2000-01-20 21:00:00,2752_8
2000-01-20 22:00:00,2722_7
2000-01-20 23:00:00,2692_9
2000-01-21 00:00:00,2657
2000-01-21 01:00:00,2629_9
2000-01-21 02:00:00,2600
2000-01-21 03:00:00,2571_4
2000-01-21 04:00:00,2544_7
2000-01-21 05:00:00,2517_6
2000-01-21 06:00:00,2491_3
2000-01-21 07:00:00,2465_7
2000-01-21 08:00:00,2440_3
2000-01-21 09:00:00,2415_4
2000-01-21 10:00:00,2390_2
2000-01-21 11:00:00,2364_6
2000-01-21 12:00:00,2339_1
2000-01-21 13:00:00,2313_9
2000-01-21 14:00:00,2289
