Time [yyyy-MM-dd HH:mm:ss],50872ObsUS: Discharge at (Bovenrijn_A_ 1071_391)_ Flow1D [m³/s]
2000-01-26 18:00:00,6939_8
2000-01-26 19:00:00,6907_5
2000-01-26 20:00:00,6875_1
2000-01-26 21:00:00,6842_8
2000-01-26 22:00:00,6810_4
2000-01-26 23:00:00,6778
2000-01-27 00:00:00,6745_7
2000-01-27 01:00:00,6728_2
2000-01-27 02:00:00,6710_8
2000-01-27 03:00:00,6693_3
2000-01-27 04:00:00,6675_9
2000-01-27 05:00:00,6658_4
2000-01-27 06:00:00,6641
2000-01-27 07:00:00,6623_5
2000-01-27 08:00:00,6606_1
2000-01-27 09:00:00,6588_6
2000-01-27 10:00:00,6571_2
2000-01-27 11:00:00,6553_7
2000-01-27 12:00:00,6536_3
2000-01-27 13:00:00,6518_8
2000-01-27 14:00:00,6501_4
2000-01-27 15:00:00,6483_9
2000-01-27 16:00:00,6466_5
2000-01-27 17:00:00,6449
2000-01-27 18:00:00,6431_6
2000-01-27 19:00:00,6414_1
2000-01-27 20:00:00,6396_7
2000-01-27 21:00:00,6379_2
2000-01-27 22:00:00,6361_8
2000-01-27 23:00:00,6344_3
2000-01-28 00:00:00,6326_9
2000-01-28 01:00:00,6311_1
2000-01-28 02:00:00,6295_4
2000-01-28 03:00:00,6279_7
2000-01-28 04:00:00,6264
2000-01-28 05:00:00,6248_3
2000-01-28 06:00:00,6232_5
2000-01-28 07:00:00,6216_8
2000-01-28 08:00:00,6201_1
2000-01-28 09:00:00,6185_4
2000-01-28 10:00:00,6169_7
2000-01-28 11:00:00,6154
2000-01-28 12:00:00,6138_2
2000-01-28 13:00:00,6122_5
2000-01-28 14:00:00,6106_8
2000-01-28 15:00:00,6091_1
2000-01-28 16:00:00,6075_4
2000-01-28 17:00:00,6059_6
2000-01-28 18:00:00,6043_9
2000-01-28 19:00:00,6028_2
2000-01-28 20:00:00,6012_5
2000-01-28 21:00:00,5996_8
2000-01-28 22:00:00,5981
2000-01-28 23:00:00,5965_3
2000-01-29 00:00:00,5949_6
2000-01-29 01:00:00,5938_4
2000-01-29 02:00:00,5927_1
2000-01-29 03:00:00,5915_9
2000-01-29 04:00:00,5904_7
2000-01-29 05:00:00,5893_5
2000-01-29 06:00:00,5882_2
2000-01-29 07:00:00,5871
2000-01-29 08:00:00,5859_8
2000-01-29 09:00:00,5848_6
